# date,eta,etax,etay
200905010000,00000000,00000000,00000000
200905010100,00000000,00000000,00000000
200905010200,00000000,00000000,00000000
200905010300,00000000,00000000,00000000
200905010400,00000000,00000000,00000000
200905010500,00000000,00000000,00000000
200905010600,00000000,00000000,00000000
200905010700,00000000,00000000,00000000
200905010800,00000000,00000000,00000000
200905010900,00000000,00000000,00000000
200905011000,00000000,00000000,00000000
200905011100,00000000,00000000,00000000
200905011200,00000000,00000000,00000000
200905011300,00000000,00000000,00000000
200905011400,00000000,00000000,00000000
200905011500,00000000,00000000,00000000
200905011600,00000000,00000000,00000000
200905011700,00000000,00000000,00000000
200905011800,00000000,00000000,00000000
200905011900,00000000,00000000,00000000
200905012000,00000000,00000000,00000000
200905012100,00000000,00000000,00000000
200905012200,00000000,00000000,00000000
200905012300,00000000,00000000,00000000
200905020000,00000000,00000000,00000000
200905020100,00000000,00000000,00000000
200905020200,00000000,00000000,00000000
200905020300,00000000,00000000,00000000
200905020400,00000000,00000000,00000000
200905020500,00000000,00000000,00000000
200905020600,00000000,00000000,00000000
200905020700,00000000,00000000,00000000
200905020800,00000000,00000000,00000000
200905020900,00000000,00000000,00000000
200905021000,00000000,00000000,00000000
200905021100,00000000,00000000,00000000
200905021200,00000000,00000000,00000000
200905021300,00000000,00000000,00000000
200905021400,00000000,00000000,00000000
200905021500,00000000,00000000,00000000
200905021600,00000000,00000000,00000000
200905021700,00000000,00000000,00000000
200905021800,00000000,00000000,00000000
200905021900,00000000,00000000,00000000
200905022000,00000000,00000000,00000000
200905022100,00000000,00000000,00000000
200905022200,00000000,00000000,00000000
200905022300,00000000,00000000,00000000
200905030000,00000000,00000000,00000000
200905030100,00000000,00000000,00000000
200905030200,00000000,00000000,00000000
200905030300,00000000,00000000,00000000
200905030400,00000000,00000000,00000000
200905030500,00000000,00000000,00000000
200905030600,00000000,00000000,00000000
200905030700,00000000,00000000,00000000
200905030800,00000000,00000000,00000000
200905030900,00000000,00000000,00000000
200905031000,00000000,00000000,00000000
200905031100,00000000,00000000,00000000
200905031200,00000000,00000000,00000000
200905031300,00000000,00000000,00000000
200905031400,00000000,00000000,00000000
200905031500,00000000,00000000,00000000
200905031600,00000000,00000000,00000000
200905031700,00000000,00000000,00000000
200905031800,00000000,00000000,00000000
200905031900,00000000,00000000,00000000
200905032000,00000000,00000000,00000000
200905032100,00000000,00000000,00000000
200905032200,00000000,00000000,00000000
200905032300,00000000,00000000,00000000
200905040000,00000000,00000000,00000000
200905040100,00000000,00000000,00000000
200905040200,00000000,00000000,00000000
200905040300,00000000,00000000,00000000
200905040400,00000000,00000000,00000000
200905040500,00000000,00000000,00000000
200905040600,00000000,00000000,00000000
200905040700,00000000,00000000,00000000
200905040800,00000000,00000000,00000000
200905040900,00000000,00000000,00000000
200905041000,00000000,00000000,00000000
200905041100,00000000,00000000,00000000
200905041200,00000000,00000000,00000000
200905041300,00000000,00000000,00000000
200905041400,00000000,00000000,00000000
200905041500,00000000,00000000,00000000
200905041600,00000000,00000000,00000000
200905041700,00000000,00000000,00000000
200905041800,00000000,00000000,00000000
200905041900,00000000,00000000,00000000
200905042000,00000000,00000000,00000000
200905042100,00000000,00000000,00000000
200905042200,00000000,00000000,00000000
200905042300,00000000,00000000,00000000
200905050000,00000000,00000000,00000000
200905050100,00000000,00000000,00000000
200905050200,00000000,00000000,00000000
200905050300,00000000,00000000,00000000
200905050400,00000000,00000000,00000000
200905050500,00000000,00000000,00000000
200905050600,00000000,00000000,00000000
200905050700,00000000,00000000,00000000
200905050800,00000000,00000000,00000000
200905050900,00000000,00000000,00000000
200905051000,00000000,00000000,00000000
200905051100,00000000,00000000,00000000
200905051200,00000000,00000000,00000000
200905051300,00000000,00000000,00000000
200905051400,00000000,00000000,00000000
200905051500,00000000,00000000,00000000
200905051600,00000000,00000000,00000000
200905051700,00000000,00000000,00000000
200905051800,00000000,00000000,00000000
200905051900,00000000,00000000,00000000
200905052000,00000000,00000000,00000000
200905052100,00000000,00000000,00000000
200905052200,00000000,00000000,00000000
200905052300,00000000,00000000,00000000
200905060000,00000000,00000000,00000000
200905060100,00000000,00000000,00000000
200905060200,00000000,00000000,00000000
200905060300,00000000,00000000,00000000
200905060400,00000000,00000000,00000000
200905060500,00000000,00000000,00000000
200905060600,00000000,00000000,00000000
200905060700,00000000,00000000,00000000
200905060800,00000000,00000000,00000000
200905060900,00000000,00000000,00000000
200905061000,00000000,00000000,00000000
200905061100,00000000,00000000,00000000
200905061200,00000000,00000000,00000000
200905061300,00000000,00000000,00000000
200905061400,00000000,00000000,00000000
200905061500,00000000,00000000,00000000
200905061600,00000000,00000000,00000000
200905061700,00000000,00000000,00000000
200905061800,00000000,00000000,00000000
200905061900,00000000,00000000,00000000
200905062000,00000000,00000000,00000000
200905062100,00000000,00000000,00000000
200905062200,00000000,00000000,00000000
200905062300,00000000,00000000,00000000
200905070000,00000000,00000000,00000000
200905070100,00000000,00000000,00000000
200905070200,00000000,00000000,00000000
200905070300,00000000,00000000,00000000
200905070400,00000000,00000000,00000000
200905070500,00000000,00000000,00000000
200905070600,00000000,00000000,00000000
200905070700,00000000,00000000,00000000
200905070800,00000000,00000000,00000000
200905070900,00000000,00000000,00000000
200905071000,00000000,00000000,00000000
200905071100,00000000,00000000,00000000
200905071200,00000000,00000000,00000000
200905071300,00000000,00000000,00000000
200905071400,00000000,00000000,00000000
200905071500,00000000,00000000,00000000
200905071600,00000000,00000000,00000000
200905071700,00000000,00000000,00000000
200905071800,00000000,00000000,00000000
200905071900,00000000,00000000,00000000
200905072000,00000000,00000000,00000000
200905072100,00000000,00000000,00000000
200905072200,00000000,00000000,00000000
200905072300,00000000,00000000,00000000
200905080000,00000000,00000000,00000000
200905080100,00000000,00000000,00000000
200905080200,00000000,00000000,00000000
200905080300,00000000,00000000,00000000
200905080400,00000000,00000000,00000000
200905080500,00000000,00000000,00000000
200905080600,00000000,00000000,00000000
200905080700,00000000,00000000,00000000
200905080800,00000000,00000000,00000000
200905080900,00000000,00000000,00000000
200905081000,00000000,00000000,00000000
200905081100,00000000,00000000,00000000
200905081200,00000000,00000000,00000000
200905081300,00000000,00000000,00000000
200905081400,00000000,00000000,00000000
200905081500,00000000,00000000,00000000
200905081600,00000000,00000000,00000000
200905081700,00000000,00000000,00000000
200905081800,00000000,00000000,00000000
200905081900,00000000,00000000,00000000
200905082000,00000000,00000000,00000000
200905082100,00000000,00000000,00000000
200905082200,00000000,00000000,00000000
200905082300,00000000,00000000,00000000
200905090000,00000000,00000000,00000000
200905090100,00000000,00000000,00000000
200905090200,00000000,00000000,00000000
200905090300,00000000,00000000,00000000
200905090400,00000000,00000000,00000000
200905090500,00000000,00000000,00000000
200905090600,00000000,00000000,00000000
200905090700,00000000,00000000,00000000
200905090800,00000000,00000000,00000000
200905090900,00000000,00000000,00000000
200905091000,00000000,00000000,00000000
200905091100,00000000,00000000,00000000
200905091200,00000000,00000000,00000000
200905091300,00000000,00000000,00000000
200905091400,00000000,00000000,00000000
200905091500,00000000,00000000,00000000
200905091600,00000000,00000000,00000000
200905091700,00000000,00000000,00000000
200905091800,00000000,00000000,00000000
200905091900,00000000,00000000,00000000
200905092000,00000000,00000000,00000000
200905092100,00000000,00000000,00000000
200905092200,00000000,00000000,00000000
200905092300,00000000,00000000,00000000
200905100000,00000000,00000000,00000000
200905100100,00000000,00000000,00000000
200905100200,00000000,00000000,00000000
200905100300,00000000,00000000,00000000
200905100400,00000000,00000000,00000000
200905100500,00000000,00000000,00000000
200905100600,00000000,00000000,00000000
200905100700,00000000,00000000,00000000
200905100800,00000000,00000000,00000000
200905100900,00000000,00000000,00000000
200905101000,00000000,00000000,00000000
200905101100,00000000,00000000,00000000
200905101200,00000000,00000000,00000000
200905101300,00000000,00000000,00000000
200905101400,00000000,00000000,00000000
200905101500,00000000,00000000,00000000
200905101600,00000000,00000000,00000000
200905101700,00000000,00000000,00000000
200905101800,00000000,00000000,00000000
200905101900,00000000,00000000,00000000
200905102000,00000000,00000000,00000000
200905102100,00000000,00000000,00000000
200905102200,00000000,00000000,00000000
200905102300,00000000,00000000,00000000
200905110000,00000000,00000000,00000000
200905110100,00000000,00000000,00000000
200905110200,00000000,00000000,00000000
200905110300,00000000,00000000,00000000
200905110400,00000000,00000000,00000000
200905110500,00000000,00000000,00000000
200905110600,00000000,00000000,00000000
200905110700,00000000,00000000,00000000
200905110800,00000000,00000000,00000000
200905110900,00000000,00000000,00000000
200905111000,00000000,00000000,00000000
200905111100,00000000,00000000,00000000
200905111200,00000000,00000000,00000000
200905111300,00000000,00000000,00000000
200905111400,00000000,00000000,00000000
200905111500,00000000,00000000,00000000
200905111600,00000000,00000000,00000000
200905111700,00000000,00000000,00000000
200905111800,00000000,00000000,00000000
200905111900,00000000,00000000,00000000
200905112000,00000000,00000000,00000000
200905112100,00000000,00000000,00000000
200905112200,00000000,00000000,00000000
200905112300,00000000,00000000,00000000
200905120000,00000000,00000000,00000000
200905120100,00000000,00000000,00000000
200905120200,00000000,00000000,00000000
200905120300,00000000,00000000,00000000
200905120400,00000000,00000000,00000000
200905120500,00000000,00000000,00000000
200905120600,00000000,00000000,00000000
200905120700,00000000,00000000,00000000
200905120800,00000000,00000000,00000000
200905120900,00000000,00000000,00000000
200905121000,00000000,00000000,00000000
200905121100,00000000,00000000,00000000
200905121200,00000000,00000000,00000000
200905121300,00000000,00000000,00000000
200905121400,00000000,00000000,00000000
200905121500,00000000,00000000,00000000
200905121600,00000000,00000000,00000000
200905121700,00000000,00000000,00000000
200905121800,00000000,00000000,00000000
200905121900,00000000,00000000,00000000
200905122000,00000000,00000000,00000000
200905122100,00000000,00000000,00000000
200905122200,00000000,00000000,00000000
200905122300,00000000,00000000,00000000
200905130000,00000000,00000000,00000000
200905130100,00000000,00000000,00000000
200905130200,00000000,00000000,00000000
200905130300,00000000,00000000,00000000
200905130400,00000000,00000000,00000000
200905130500,00000000,00000000,00000000
200905130600,00000000,00000000,00000000
200905130700,00000000,00000000,00000000
200905130800,00000000,00000000,00000000
200905130900,00000000,00000000,00000000
200905131000,00000000,00000000,00000000
200905131100,00000000,00000000,00000000
200905131200,00000000,00000000,00000000
200905131300,00000000,00000000,00000000
200905131400,00000000,00000000,00000000
200905131500,00000000,00000000,00000000
200905131600,00000000,00000000,00000000
