date,ws,wd
1996-01-01 00:00:00,7.21,66.4
1996-01-01 01:00:00,7.05,62.1
1996-01-01 02:00:00,6.88,59.7
1996-01-01 03:00:00,6.56,57.8
1996-01-01 04:00:00,6.15,55.4
1996-01-01 05:00:00,5.74,53.1
1996-01-01 06:00:00,4.61,52.5
1996-01-01 07:00:00,4.71,49.4
1996-01-01 08:00:00,4.84,47.7
1996-01-01 09:00:00,5.08,46.7
1996-01-01 10:00:00,5.34,47.1
1996-01-01 11:00:00,5.45,49.4
1996-01-01 12:00:00,4.74,59.0
1996-01-01 13:00:00,5.68,67.0
1996-01-01 14:00:00,6.51,73.8
1996-01-01 15:00:00,7.37,79.5
1996-01-01 16:00:00,8.02,82.7
1996-01-01 17:00:00,8.49,84.1
1996-01-01 18:00:00,6.95,88.3
1996-01-01 19:00:00,7.38,85.9
1996-01-01 20:00:00,7.36,82.0
1996-01-01 21:00:00,7.25,77.6
1996-01-01 22:00:00,7.19,72.8
1996-01-01 23:00:00,7.01,69.2
1996-01-02 00:00:00,5.05,72.2
1996-01-02 01:00:00,5.14,72.3
1996-01-02 02:00:00,5.16,74.1
1996-01-02 03:00:00,5.31,76.2
1996-01-02 04:00:00,5.54,75.2
1996-01-02 05:00:00,5.78,74.2
1996-01-02 06:00:00,5.22,73.8
1996-01-02 07:00:00,5.5,71.5
1996-01-02 08:00:00,5.47,69.4
1996-01-02 09:00:00,5.52,66.6
1996-01-02 10:00:00,5.47,64.0
1996-01-02 11:00:00,5.51,63.2
1996-01-02 12:00:00,4.69,77.0
1996-01-02 13:00:00,5.49,80.7
1996-01-02 14:00:00,6.18,83.2
1996-01-02 15:00:00,6.81,83.3
1996-01-02 16:00:00,7.09,84.3
1996-01-02 17:00:00,7.29,85.4
1996-01-02 18:00:00,6.53,88.2
1996-01-02 19:00:00,6.53,89.6
1996-01-02 20:00:00,6.2,88.0
1996-01-02 21:00:00,5.94,84.2
1996-01-02 22:00:00,6.05,80.4
1996-01-02 23:00:00,6.09,76.7
1996-01-03 00:00:00,5.82,69.1
1996-01-03 01:00:00,6.01,68.7
1996-01-03 02:00:00,5.72,68.2
1996-01-03 03:00:00,5.39,69.0
1996-01-03 04:00:00,5.24,70.8
1996-01-03 05:00:00,4.98,71.9
1996-01-03 06:00:00,5.31,75.9
1996-01-03 07:00:00,5.25,73.6
1996-01-03 08:00:00,5.0,73.1
1996-01-03 09:00:00,4.68,72.1
1996-01-03 10:00:00,4.61,73.7
1996-01-03 11:00:00,4.66,77.1
1996-01-03 12:00:00,4.77,83.8
1996-01-03 13:00:00,5.68,87.9
1996-01-03 14:00:00,6.35,92.1
1996-01-03 15:00:00,7.09,94.3
1996-01-03 16:00:00,7.51,95.6
1996-01-03 17:00:00,7.74,96.9
