# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
3.16,3.90,4.81,12.09,16.00,3.40,13.33,193.84
3.26,3.91,4.89,12.29,15.00,3.43,13.33,192.80
3.60,4.41,5.53,12.56,17.00,3.79,14.29,195.68
3.53,4.29,5.13,12.93,14.00,3.72,12.50,201.02
4.08,5.16,7.94,12.56,16.00,4.44,13.33,206.12
3.41,4.31,5.52,12.14,14.00,3.59,12.50,201.23
3.33,3.92,4.65,13.33,17.00,3.56,13.33,195.26
3.86,4.76,6.14,13.53,16.00,4.12,13.33,193.55
3.51,4.31,5.03,13.33,15.00,3.71,14.29,200.19
3.55,4.60,6.12,13.76,16.00,3.59,14.29,190.33
3.35,4.17,5.34,13.64,16.00,3.48,13.33,203.46
3.34,4.01,4.55,13.68,15.00,3.58,13.33,206.55
3.33,3.98,4.27,13.79,17.00,3.37,14.29,200.38
3.62,4.35,5.15,14.34,17.00,3.82,14.29,197.00
3.38,4.55,6.00,13.11,16.00,3.57,13.33,204.24
3.06,3.92,4.76,13.30,19.00,3.25,14.29,200.99
3.43,4.23,4.77,14.30,19.00,3.53,13.33,195.57
3.11,3.94,5.61,13.97,15.00,3.36,14.29,199.48
3.43,4.27,5.57,13.51,17.00,3.72,12.50,201.61
3.41,4.40,5.44,13.30,18.00,3.59,15.38,195.17
3.01,3.58,4.14,13.50,17.00,3.16,14.29,189.10
3.34,3.87,4.48,13.47,16.00,3.34,12.50,195.70
3.09,4.07,4.99,12.02,15.00,3.28,13.33,195.24
2.95,3.68,4.29,12.27,17.00,3.17,12.50,197.05
3.26,3.95,4.60,12.50,16.00,3.52,12.50,195.17
3.07,3.90,4.66,12.76,17.00,3.22,14.29,194.11
2.55,3.18,3.81,11.63,14.00,2.81,13.33,197.32
3.30,4.13,5.00,12.27,17.00,3.53,12.50,194.56
3.09,3.89,4.70,11.59,16.00,3.32,12.50,193.74
3.09,3.70,4.13,12.11,15.00,3.21,13.33,192.76
3.37,4.29,5.21,12.62,17.00,3.57,13.33,188.97
3.05,3.88,4.84,11.12,15.00,3.05,12.50,199.26
2.99,3.73,4.36,12.25,16.00,3.31,13.33,198.43
2.97,3.45,3.99,12.34,15.00,3.21,12.50,188.20
3.25,4.06,4.65,12.54,15.00,3.41,12.50,189.64
2.82,3.59,5.43,11.89,15.00,3.08,12.50,194.92
2.87,3.60,4.58,11.72,16.00,2.83,12.50,190.52
2.40,3.03,3.82,11.38,16.00,2.55,11.76,193.60
2.84,3.56,4.01,11.92,18.00,3.08,11.76,185.29
2.66,3.19,3.50,11.95,16.00,2.65,13.33,191.49
2.89,3.45,4.32,12.38,14.00,3.09,11.76,189.99
2.49,2.93,3.84,12.46,15.00,2.66,12.50,186.39
2.40,2.97,4.02,11.66,13.00,2.32,12.50,193.69
2.10,2.66,3.51,11.03,15.00,2.35,13.33,196.17
2.16,2.75,3.24,10.80,15.00,2.36,11.11,195.67
1.94,2.53,3.28,10.44,13.00,2.15,11.76,195.14
1.93,2.37,3.31,10.34,15.00,2.12,12.50,197.78
1.80,2.15,2.66,10.26,15.00,1.96,12.50,191.14
1.87,2.30,3.03,10.46,14.00,2.02,11.76,199.01
1.78,2.23,2.66,10.42,13.00,1.94,11.11,183.08
1.85,2.36,2.74,10.48,14.00,2.03,10.53,194.66
1.70,2.10,2.45,10.02,13.00,1.82,11.11,178.31
1.75,2.23,2.93,10.36,14.00,1.94,12.50,197.01
1.52,1.84,2.34,9.92,13.00,1.61,12.50,196.71
1.56,1.85,2.12,9.87,12.00,1.70,12.50,192.82
1.55,1.93,2.45,9.19,16.00,1.62,11.11,177.96
1.50,1.87,2.35,9.61,13.00,1.59,11.11,196.37
1.46,1.80,2.45,9.97,16.00,1.60,12.50,182.67
1.40,1.71,2.15,8.87,14.00,1.55,10.00,189.94
1.40,1.73,2.59,9.66,13.00,1.52,13.33,179.50
1.30,1.73,2.21,9.18,10.00,1.46,11.11,174.63
1.40,1.75,2.49,9.49,15.00,1.49,9.52,173.04
1.28,1.61,2.39,9.74,16.00,1.43,13.33,176.74
1.27,1.57,1.99,9.71,13.00,1.41,11.76,176.72
1.12,1.41,1.87,9.01,18.00,1.21,11.76,174.80
1.16,1.46,2.16,9.07,15.00,1.30,11.76,170.33
1.14,1.39,1.77,9.51,13.00,1.23,12.50,194.11
1.19,1.51,1.96,9.84,15.00,1.27,11.76,189.34
1.09,1.32,1.52,8.94,13.00,1.21,11.76,190.37
1.17,1.39,1.88,9.12,13.00,1.27,11.76,182.51
1.08,1.37,1.71,8.54,15.00,1.23,11.11,182.82
1.16,1.39,1.77,8.32,17.00,1.31,11.76,181.54
1.25,1.56,2.08,7.72,15.00,1.38,12.50,169.04
1.26,1.58,2.17,7.49,9.00,1.41,12.50,176.43
1.33,1.69,2.53,7.24,15.00,1.51,11.76,176.20
1.46,1.83,2.34,7.52,15.00,1.60,12.50,172.27
1.36,1.64,2.09,7.36,16.00,1.55,11.11,186.40
1.57,1.92,2.32,7.54,15.00,1.81,11.11,173.50
1.52,1.80,2.35,7.35,11.00,1.72,5.13,55.78
1.52,1.85,2.29,7.24,8.00,1.75,5.26,38.29
1.59,1.93,2.87,7.72,11.00,1.81,11.76,153.44
1.73,2.09,2.71,8.22,9.00,1.87,5.56,52.00
1.57,1.97,2.37,7.67,8.00,1.79,11.11,169.05
